String ID,Enum,English
102,SmallGiftShopDesc,Get some souvenirs of your time here!
103,LionHotDogShop,Hot Dog Shop
104,LionHotDogShopDesc,Hungry like a lion? Grab your hotdogs now!
105,ElephantGiftShop,Gift Shop
106,ElephantGiftShopDesc,Get some souvenirs of your time here!
107,SignboardFront,Signboard
108,SignboardFrontDesc,Education is important
109,Lamppost,Simple Lamp
110,LamppostDesc,Light up your life!
111,WhiteDustbin,Giraffe Bin
112,WhiteDustbinDesc,A stylish bin.
113,GreenDustbin,GreenBin
114,GreenDustbinDesc,Green makes it more eco-friendly!
115,DrinksVendingMachine,Drink Vendor
116,DrinksVendingMachineDesc,Fancy vending machine for all your drink needs!
117,SnacksVendingMachine,Snacks Vendor
118,SnacksVendingMachineDesc,Quench your thirst now with a drink!
119,PlantPot,Potted Plant
120,PlantPotDesc,Plants always liven up an area.
121,RedFlag,Red Banner
122,RedFlagDesc,Decorate your zoo with these bright banners!
123,RoundFountain,Fountain
124,RoundFountainDesc,Make your zoo more grand-looking!
125,IceCreamTruck,Ice Cream Van
126,IceCreamTruckDesc,Get your Ice Cream now!
127,BigIceCreamShop,Sundae Shop
128,BigIceCreamShopDesc,More ice cream is always good.
129,CoconutShop,Drinks Shop
130,CoconutShopDesc,Get a taste of the tropics!
131,PandaBurgerShop,Burger Store
132,PandaBurgerShopDesc,Adorable and affordable burgers waiting for you!
133,BalloonShop,Balloon Shop
134,BalloonShopDesc,Animal balloons are popular with both kids and adults. 
135,FlowerPatch,Flower Patch
136,FlowerPatchDesc,Flowers will brighten up the park.
137,DangerSign,Danger Sign
138,DangerSignDesc,More is always better for people with no common sense.
139,SmallDesertRockDeco,Desert Rock 1
140,SmallDesertRockDecoDesc,Fake plastic rocks to add to the atmosphere.
141,DesertRockDeco,Desert Rock 2
142,DesertRockDecoDesc,Plastic rocks to make it look like a desert. 
143,DesertCactusDeco,Desert Cactus
144,DesertCactusDecoDesc,This cactus is plastic and smooth.
145,KangarooPizzaShop,Pizza Shop
146,KangarooPizzaShopDesc,Joey's Pizza for all the pizza lovers!
147,CottonCandyShop,Candy Stand
148,CottonCandyShopDesc,"Sweet, artificial-flavored ,fluffy clouds on a stick."
149,SlushieShop,Slushie Shop
150,SlushieShopDesc,Get your brain freeze now.
151,ChurroShop,Churros Stand
152,ChurroShopDesc,Hot and delicious churros straight out of the fryer.
153,WoodenToliet,Restroom
154,WoodenTolietDesc,Everyone has needs.
155,SnakeHuggingBooth,Snake Exhibit
156,SnakeHuggingBoothDesc,Guests will love getting up close and personal with these reptiles!
157,TreeExhibit,Tree Exhibit
158,TreeExhibitDesc,Take pictures of animals on trees!
159,InfoBooth,Info Kiosk
160,InfoBoothDesc,"Get park maps, show schedules, and other information here. "
161,BusStop,Bus Stop
162,BusStopDesc,The shuttle bus will pull over at these stops!
163,BarSignboardDesc,Direct or misdirect your guests as you please.
164,Umbrella,Umbrella
165,UmbrellaDesc,Provide some shade under the hot sun!
166,BigTree,Big Tree
167,BigTreeDesc,Make your zoo more green with some greenery.
168,TikiShelter,Tiki Shelter
169,TikiShelterDesc,Take cover during storms.
170,ZooMap,Zoo Map
171,ZooMapDesc,This map allows people to locate where they are.
172,BrownBench,Brown Bench
173,BrownBenchDesc,Standard brown bench.
174,WhiteBench,White Bench
175,WhiteBenchDesc,"White benches look fancier, that is what some say."
176,NoSwimmingSign,No Swimming
177,NoSwimmingSignDesc,Don't you dare swim here!
178,PottedPlantDesc,Leafy plant to make things pretty.
179,ThickSignboardDesc,Blank signboard for people to read.
180,ElephantFountain,Ele-Fountain
181,ElephantFountainDesc,Splashing good fun!
182,FloorLight,Floor Light
183,FloorLightDesc,Light up your park at night with these floor lights.
184,RustyKegShop,Drinks Bar
185,PopcornWeaselShop,Popcorn Stall
186,PopcornWeaselShopDesc,"Pop Goes the Weasel! Popcorn so good, it will pop in your mouth!"
187,Nursery,Nursery
188,QuarantineOffice,Quarantine
189,VetOffice,Vet Office
190,VetOfficeDesc,Cure your sick animals and end their suffering.
191,ElephantMarbleFountain,Ele-Fountain 2
192,ElephantMarbleFountainDesc,
193,FlamingoHedge,Flamin-Hedge
194,FlamingoHedgeDesc,Hedge animal cut in the shape of an flamingo.
195,GiraffeHedge,Gira-Hedge
196,GiraffeHedgeDesc,Hedge animal cut in the shape of an giraffe.
197,ElephantHedge,Ele-Hedge
198,ElephantHedgeDesc,Hedge animal cut in the shape of an elephant.
199,MonkeyStatue,Monkey Deco
200,MonkeyStatueDesc,A large statue of a smiling monkey.
201,GiantSunFlower,Sunflower
202,GiantSunFlowerDesc,Overgrown sunflower that looks like it came out of a fantasy garden.
203,ZooStandee,Zoo Standee
204,ZooStandeeDesc,Take a photo with it to prove you went to the zoo!
205,PenguinStandee,Penguin Fun
206,PenguinStandeeDesc,Everyone wants to become a penguin.
207,BearStandee,Bear Fun
208,BearStandeeDesc,Become a cute bear!
209,SnakeBench,Snake Bench
210,SnakeBenchDesc,This giant snake will be a fine collection to your zoo.
211,ZooTree,Tall Tree
212,ZooTreeDesc,Add more greenery to your zoo!
213,SnakeSignpost,Snake Post
214,SnakeSignpostDesc,Show the way with a cute snake!
215,UmbrellaBench,Umbrella Bench
216,UmbrellaBenchDesc,A cozy rest place under the hot sun.
217,MonkeyBanner,Monkey Flag
218,MonkeyBannerDesc,More promotion and advertisements!
219,SakuraTree,Sakura Tree
220,SakuraTreeDesc,Pink petals add a touch of color to your park.
221,LionPlayground,Lion Slide
222,LionPlaygroundDesc,Dive into the lion's mouth!
223,SpringChicken,Spring Chicken
224,SpringChickenDesc,This cannot be eaten!
225,SpringHorse,Spring Horse
226,SpringHorseDesc,Children will enjoy this.
227,RockElephant,Rock Elephant
228,RockElephantDesc,This rock has been carved into the shape of an elephant.
229,YellowBush,Flower Bush
230,YellowBushDesc,Specks of yellow adorn the lush leaves of the bush.
231,RedFlower,Red Flower
232,RedFlowerDesc,The color of passion will spark joy in your zoo.
233,WhiteFlower,White Flower
234,WhiteFlowerDesc,The color of purity to brighten up your zoo.
235,PurpleFlower,Purple Flower
236,PurpleFlowerDesc,This regal color will make your zoo look more noble.
237,PurpleFlowerPatch,Flower Patch
238,PurpleFlowerPatchDesc,Because more flowers is always good.
239,PenguinTrashbin,Penguin Bin
240,PenguinTrashbinDesc,Penguin
241,SealStandee,Seal Fun
242,SealStandeeDesc,Become the seal you were always meant to be.
243,RedShelter,Red Shelter
244,RedShelterDesc,A nice area to put your feet up and relax for a few moments.
245,CrocCrossingSign,Croc Sign
246,CrocCrossingSignDesc,"Do you think Crocodiles need a ""Warning: Human Crossing"" Sign? "
247,MenuSign,Menu Sign
248,MenuSignDesc,A handy signboard to list out items on.
249,SmallBarTable,Bar Table
250,SmallBarTableDesc,To make it easy to eat and drink.
251,NoPhotoSign,No Photo Sign
252,NoPhotoSignDesc,No means no.
253,OwlClock,Owl Clock
254,OwlClockDesc,Literally the owl tells the time here.
255,HeShee,Aztec Statue
256,HeSheeDesc,A plastic statue based on Aztec statues.
257,Totem,Stone Totem
258,TotemDesc,Inscribed with engravings that no one can read.
259,AztecSign,Aztec Sign
260,AztecSignDesc,Beautiful signboard to tell people where you are.
261,AztecTorch,Aztec Torch
262,AztecTorchDesc,"A flaming torch, LED operated."
263,AztecPlant,Aztec Plant
264,AztecPlantDesc,Greenery from a different region.
265,WoodenTotem,Wooden Totem
266,WoodenTotemDesc,Tall structure adds new heights to your zoo.
267,StoreRoom,Store Room
268,StoreRoomDesc,Store more items with more storage!
269,ArchitectOffice,Research Hub
270,ArchitectOfficeDesc,Hire Researchers to help research more buildings!
271,LargeArchitectOffice,Research Hub 2
272,ArchitectOfficeDesc,Hire even more Researches to help research more buildings!
273,GlueFactory,Glue Factory
274,GlueFactoryDesc,Re-use and recycle animal parts to make great glue!
275,BaconFactory,Bacon Factory
276,BaconFactoryDesc,Put piggies into here to turn them into bacon to sell!
277,BuffaloWingFactory,Wings Factory
278,BuffaloWingFactoryDesc,A great mix of buffalo and chicken makes these delicious!
279,Barn,Barn
280,BarnDesc,A old-school barn for farms.
281,WheatFarmPlot,Wheat Plot
282,WheatFarmPlotDesc,Plant some wheat to grow!
283,Silo,Silo
284,SiloDesc,Store crops in a giant metal container.
285,Floor_RedCircles,Red Circle Tile
286,Floor_RedCirclesDesc,Red floors make your zoo flashy!
287,Floor_GreenGrass,Grass
288,Floor_GreenGrassDesc,Add green grass to the zoo.
289,Floor_Dirt,Dirt
290,Floor_DirtDesc,"Dirt paths, easy to walk on."
291,Floor_GreyBricks,Grey Bricks
292,Floor_GreyBricksDesc,"Tile these bricks, make your zoo fancier."
293,PalmTree,Palm Tree
294,PalmTreeDesc,Add a tropical touch to your zoo!
295,GreenTree,Small Tree
296,GreenTreeDesc,These trees love rainy weather.
297,LongGrass,Long Grass
298,LongGrassDesc,Overgrown grass that adds more nature to your zoo.
299,IrisPlantPot,Potted Iris
300,IrisPlantPotDesc,Cute flowers to spruce up the place.
301,YellowPlantPot,Yellow Flower
302,YellowPlantPotDesc,It is not cauliflower!
303,BonsaiPlantPot,Potted Bonsai
304,BonsaiPlantPotDesc,A nicely trimmed potted tree.
305,Ferns,Fern
306,FernsDesc,Are these fake or real?
307,SmallRock,Small Rock
308,SmallRockDesc,Stones that roll around.
309,MediumRock,Medium Rock
310,MediumRockDesc,These rocks lying around seem a little unnatural...
311,LargeMossyRock,Mossy Rock
312,LargeMossyRockDesc,"Mossy rock, looks great beside a pool of water."
313,TigerPhoto,Tiger Selfie
314,TigerPhotoDesc,Take a photo with a chained tiger! It is great!
315,NoticeBoard,Log Plaque
316,NoticeBoardDesc,Impart more info to your visitors!
317,BeetleGlassExhibit,Beetle Exhibit
318,BeetleGlassExhibitDesc,Display beetles in this glass exhibit
319,ButterflyGlassExhibit,Butterfly Exhibit
320,ButterflyGlassExhibitDesc,Display butterfly in this glass exhibit
321,GlassExhibit,Glass Exhibit
322,GlassExhibitDesc,Display insects and other stuff in this glass exhibit
323,Floor_BlueCircleTiles,Blue Stone Tile
324,Floor_BlueCircleTilesDesc,Cute bubbly circles lighten the mood.
325,Floor_ColorfulBrickTile,Red Bricks
326,Floor_ColorfulBrickTileDesc,Add color to gray bricks!
327,Floor_OrangeTiles,Orange Tile
328,Floor_OrangeTilesDesc,Bright orange makes the zoo look energetic.
329,Floor_WoodenBoards,Wooden Planks
330,Floor_WoodenBoardsDesc,Lay out wooden boards for guests to walk on!
331,Floor_MetalDecoTile,Metal Panels
332,Floor_MetalDecoTileDesc,"Add some touch of metal around, decorate the floor."
333,Floor_PawDecoTile,Pawprint Tile
334,Floor_PawDecoTileDesc,Adding paw prints to the floor is great fun!
335,EmptySoilPatch,Soil Patch
336,EmptySoilPatchDesc,Grow your own crops!
337,MiniFountain,Mini Fountain
338,ElegantTallFountain,Tall Fountain
339,HedgeArchYellowFlowers,Hedge Arch 1
340,HedgeArchWhiteFlowers,Hedge Arch 2
341,WhiteMetalVineArch,Vine Arch
342,BlackMetalRoseArch,Rose Arch
343,PeacockBush,Peacock Bush
344,Binoculars,Binoculars
345,TwinLamppost,Twin Lamp
346,CurlLampPost,Curl Lamp
347,TwinCurlsLampPost,Fancy Lamp
348,WoodenLampPost,Gas Lamp
349,TripletsLampPost,Triple Lights
350,ClassicLampPost,Urban Lamp
351,WhiteClassicLampPost,White Lamp
352,FlamingoLampPost,Flamingo Light
353,SealLampPost,Seal Light
354,BallLampPost,Ball Lamp
355,SwingingBench,Swing Bench
356,GreenGardenBench,Garden Bench
357,GreenChair,Green Chair
358,WoodenChair,Wooden Chair
359,LongWoodenBench,Wooden Bench
360,CamelChair,Camel Chair
361,Greenhouse,Greenhouse
362,Placeholder,Placeholder
363,PandaChair,Panda Chair
364,ATMMachine,ATM Machine
365,SmallSpeaker,Small Speaker
366,LargeSpeaker,Large Speaker
367,RockSpeaker,Rock Speaker
368,IceSpeaker,Ice Speaker
369,KatCoffeeShop,Kat Coffee
370,ShellShackShop,Shell Shack
371,TacoTruck,Taco Truck
372,PretzelShop,Pretzel Shop
373,Slaughterhouse,Abattoir
374,IglooToliet,Ig-Loo
375,LionTrashbin,Lion Bin
376,BearTrashbin,Bear Bin
377,Floor_Cobblestone,Cobblestone
378,Floor_PinkSmallTiles,Pink Tiles
379,Floor_BrownOctoTile,Brown Tiles
380,Floor_BrownOctoTile2,Brown Outline Tiles
381,Floor_GreenAndBlueDiamondTile,Diamond Tiles
382,Floor_BrownSquareTile,Square Tiles
383,PineTree,Pine Tree
384,BrickToliet,Brick Wall Toilet
385,EggBatteryFarm,Egg Battery
386,ColoredTree,Autumn Tree
387,DarkBush,Bush
388,Cactus,Flower Cactus
389,Floor_Snow,Snow
390,PenguinSignboard,Penguin Post
391,IceArch,Ice Arch
392,SmallIceRocks,Ice Rocks
393,ThinIceRocks,Icicles
394,IceCrystals,Ice Crystals
395,Snowman,Snowman
396,IcyTree,Icy Tree
397,LionSnowSculpture,Snow Lion
398,SealIceSculpture,Ice Seal
399,DeerIceSculpture,Ice Deer
400,BearIceSculpture,Ice Bear
401,BirdIceSculpture,Ice Flamingo
402,GiraffeIceSculpture,Ice Giraffe
403,BlueGrass,Blue Grass
404,IceShelter,Ice Shelter
405,ZooIceSign,Ice Sign
406,IceCastle,Ice Castle
407,IceChair,Ice Chair
408,GiantTree,Giant Tree
409,ZooRockSign,Zoo Rock Deco
410,GiantPigBalloon,Pig Balloon
411,Bamboo,Bamboo
412,WaterTower,Water Tower
413,Cart,Cart
414,SmallBush,Thorny Shrub
415,DeadTree,Dead Tree
416,WantedPoster,Wanted Poster
417,BigRocks,Big Rocks
418,Pyramid,Pyramid
419,SandTower,Sand Tower
420,SmallPyramid,Small Pyramid
421,Sphinx,Sphinx
422,PalmTreesTall,Tall Palm Trees
423,TileBusStop,Tiled Bus Stop
424,Anubis,Anubis
425,WesternWindmill,Wood Windmill
426,JungleToliet,Jungle Toilet
427,TreeLogBench,Log Bench
428,TreeStump,Tree Stump
429,GlowingPlant,Glowing Plant
430,RedMushrooms,Mushrooms 1
431,BrownMushrooms,Mushrooms 2
432,LeafyFern,Leafy Fern
433,LargeFern,Large Fern
434,TreeWithVines,Vine Tree
435,TreeSwing,Tree Swing
436,JungleArch,Jungle Arch
437,JungleWaterfall,Jungle falls
438,MushroomShelter,Fungi Shelter
439,Floor_WoodenPlanks,Wooden Planks
440,Floor_WoodenTrunk,Log Footpath
441,Floor_StonePebbles,Stone Pebbles
442,Volume_Water,Water
443,Volume_WoodenBridge,Wooden Square
444,ChocolateVendingMachine,Choco Vendor
445,RockyWaterfall,Rocky Falls
446,WaterTrough,Water Trough
447,ImpossibleBuilding,Improbable Lab
448,DNABuilding,CRISPR Splicer
449,MeatProcessor,Processor
450,AnimalColosseum,Colosseum
451,Incinerator,Incinerator
452,Enclosure,Enclosure
453,ToiletDesc,"When nature calls, people need to stop looking at nature and powder their noses."
454,BinDesc,"If there isn't a bin nearby when people are holding garbage, then the floor will have to do."
455,ATMDesc,"When people run out of money, having an ATM nearby allows them to go into debt if needs be, just so they can buy another fridge magnet.~So long as the spending isn't ending, the zoo will always have room to grow."
456,WaterPumpStationDesc,"Water pumps distribute water to your animals through the water troughs in your enclosures. If you don't have full coverage, animals will die!"
457,AttractionsDesc,Placeholder
458,BenchesDesc,Placeholder
459,DecorativeDesc,Placeholder
460,EnclosureDesc,Different enclosures are more suited for different animals. Research each animal to discover the best habitat for them.
461,StoreRoomOrCupboardDesc,"The store room holds food for your animals. Note, you can only have one of these in your zoo."
462,ArchitectDesc,Researchers use this building to discover new upgrades for your zoo. You can only have one of each type of Research Hub in your zoo.
463,NurseryDesc,Use selective breeding to discover new animal types and help map each species genome.
464,QuarantineOfficeDesc,"Use this building for new animals to avoid spreading disease, or put infectious animals here to get better."
465,ImpossibleBuildingDesc,"Use science to create vegetable based meat alternatives that are indiscernible from the real thing, for your animals and shops."
466,MeatProcessorDesc,Convert deceased animals into useful resources.
467,IncineratorDesc,"Burn deceased animals to avoid risk of disease, and keep the park free of unsightly corpses."
468,SurveillanceBuildingDesc,"Allows you to keep close tabs on your customers activities, and deal with trouble makers."
469,DNABuildingDesc,Create entirely new species of animals using your mapped genome data and the power of CRISPR.
470,FoodStoreDesc,Food shops satisfy your customers' hunger.
471,DrinksStoreDesc,Drinks shops satisfy your customers' thirst.
472,RustyKegShopDesc,"Alcohol can earn a lot of money, but comes with certain risks"
473,KatCoffeeShopDesc,"Caffeine packs an energy kick, and slightly contributes to quenching a customers' thirst."
474,GiftShopDesc,"Gift shops, an additional way for visitors to part with their cash!"
475,Water_SmallLilyPads,Small Lilypad
476,Water_LargeLilyPads,Big Lilypad
477,Water_Reeds,Reeds
478,Water_LotusFlower,Lotus Flower
479,Water_FlatRock,Flat Rock
480,Water_Lanturn,Stone Lantern
481,Water_LightBall,Light Ball
482,Water_BirdStatue,Stone Crane
483,Water_FlappingBirdStatue,Stone Crane 2
484,Water_FishFountain,Fish Fountain
485,Water_WaterJarFountain,Pot Fountain
486,Water_Fountain,Elegant Spring
487,Water_FloatingCrate,Bobbing Crate
488,Water_FloatingBarrel,Bobbing Barrel
489,Water_WaterJet,Water Jet
490,Water_TreasureChest,Treasure Deco
491,Water_SunkenShip,Sunken Ship
492,Water_IceRocks,Iceberg 1
493,Water_FlatIce,Iceberg 2
494,Water_IceBoulders,Iceberg 3
495,Water_RockBoulders,Iceberg 4
496,Water_FloatHouse,Float House
497,Enrichment_WaterSprinklers,Water Sprinklers
498,Enrichment_Trampoline,Trampoline
499,Enrichment_ScratchingPost,Scratching Post
500,Enrichment_LargeBall,Large Ball
501,Enrichment_SmallBall,Small Ball
502,Enrichment_TugRopeToy,Tug Rope
503,Enrichment_ChewToy,Chew Toy
504,Enrichment_Tunnel,Tunnel
505,Enrichment_WoodenLogs,Wooden Logs
506,Enrichment_Perch,Perch
507,Shelter_SmallRockCave,Rock Shelter 1
508,Shelter_LargeRockCave,Rock Shelter 2
509,Enrichment_HighPerch,High Beams
510,Shelter_LargeWoodenHouse,Wooden Shelter
511,Shelter_Igloo,Igloo Shelter
512,DarkTreeDeco,Placeholder
513,SwingTreeDeco,Tree Swing
514,WaterPumpStation,Water Pump
515,Water_Skull,Skull Deco
516,Water_CannonballJet,Cannon Splash
517,Water_WaterMill,Water Mill
518,Water_FrogFountain,Frog Fountain
519,Water_WaterLanturn,Paper Lantern
520,GiantBearBalloon,Bear Balloon
521,LightHouse,Lighthouse
522,Water_IceArchRock,Ice Arch
523,Water_MangroveTree,Mangrove 1
524,Water_SmallMangroveTree,Mangrove 2
525,Water_GrassyRock,Grassy Rock 1
526,Water_SmallGrassyRock,Grassy Rock 2
527,Water_DeerScare,Bamboo Deco
528,GiraffeAirDancer,Air Dancer 1
529,SnakeAirDancer,Air Dancer 2
530,Shelter_MossyRock,Mossy Shelter
531,Enrichment_CarTire,Car Tire
532,Enrichment_RockCliff,Cliffs
533,Enrichment_SaltBlock,Salt Block
534,Enrichment_Mirror,Mirror
535,Enrichment_ScentMarker,Scent Marker
536,Enrichment_JollyBall,Jolly Ball
537,Enrichment_CardboardBox,Cardboard Box
538,Shelter_IceRocks,Ice Shelter
539,Water_SunkenRocksLarge,Deep Rocks 1
540,Water_SunkenRocksMed,Deep Rocks 2
541,Water_SunkenRocksSmall,Deep Rocks 3
542,WindTurbine,Wind Turbine
543,SolarPanel,Solar Panel
544,RecyclingBin,Recycling Bin
545,CrossSign,Mute Sign
546,Volume_DarkGrass,Dark Grass
547,Volume_YellowGrass,Yellow Grass
548,Volume_Sand,Sand
549,MilkBatteryFarm,Milk Battery
550,HelicopterRide,Helicopter Ride
551,Caravan,Caravan
552,OldWestToliet,Old West Toilet
553,WestBarrel,Old West Barrel
554,WestWoodenBox,Old West Crate
555,WoodenTrashbin,Wooden Bin
556,WesternArch,Old West Arch
557,OrangeStoneArch,Clay Arch
558,BoneArch,Giant Bone
559,BoneDeco,Skeleton Deco
560,SmallCactus,Small Cactus
561,ArrowSignboard,Arrow Sign
562,SmallGrass,Small Grass
563,WestWoodenBoard,Notice Board
564,TreeWithLights,Fairy Light Tree
565,CarpStreamers,Carp Streamers
566,HorizonValleyZooBalloon,HVZ Balloon
567,PineTreeDark,Pine Tree
568,ArticBush,Artic Bush
569,DarkSmallPlant,Winter Sprout
570,DeadWinterTree,Winter Tree
571,TallRoofHouse,Viking House
572,DesertTree,Joshua Tree
573,CactusLong,Tall Cactus
574,AztacTempleFloor,Aztac Floor
575,AztacSnakeStatue,Aztac Snake
576,AztacTemple,Aztac Temple
577,Volume_LightMud,Pale Mud
578,Volume_LightGrass,Pale Grass
579,AztacToliet,Aztac Toilet
580,AztacMap,Aztac Map
581,AztacChair,Aztac Bench
582,BigMountainRocks,Clay Rocks 1
583,OrangeLargeRocks,Clay Rocks 2
584,AztacTempleGate,Aztac Gate
585,AsianToliet,Asian Toilet
586,AsianGate,Asian Gate
587,AsianPavillion,Asian Pavilion
588,AsianLight,Asian Lamp
589,CoinSquasher,Coin Squasher
590,RockyZooSign,Bear Zoo Sign
591,MediumStones,Rock Cluster
592,LightGreenTree,Small Elm Tree
593,CrocHandbagFactory,Croc Factory
594,SnakeSkinFactory,Snake Factory
595,SurveillanceBuilding,Surveillance
596,HotAirBalloonRide,Hot Air Balloon
597,Farmhouse,Farmhouse
598,FarmProcessor,Farm Processor
599,Windmill,Windmill
600,BeerBrewery,Beer Brewery
601,RecyclingCenter,Recycle Center
602,AnimalRehabilitationBuilding,Rehab Center
603,Warehouse,Warehouse
604,RainCollectionBuilding,Water Tower
605,Lion,Lion
606,Tiger,Tiger
607,Panda,Panda
608,Cheetah,Cheetah
609,Elephant,Elephant
610,PolarBear,Polar Bear
611,Bear,Bear
612,Panther,Panther
613,Giraffe,Giraffe
614,Capybara,Capybara
615,Alpaca,Alpaca
616,Rhino,Rhino
617,RedPanda,Red Panda
618,Hippopotamus,Hippopotamus
619,Penguin,Penguin
620,Gorilla,Gorilla
621,KomodoDragon,Komodo Dragon
622,Wolf,Wolf
623,Zebra,Zebra
624,Armadillo,Armadillo
625,Orangutan,Orangutan
626,Fox,Fox
627,Kangaroo,Kangaroo
628,Monkey,Monkey
629,Seal,Seal
630,Camel,Camel
631,Owl,Owl
632,Platypus,Platypus
633,Ostrich,Ostrich
634,Tapir,Tapir
635,Crocodile,Crocodile
636,Otter,Otter
637,Antelope,Antelope
638,Porcupine,Porcupine
639,Flamingo,Flamingo
640,Walrus,Walrus
641,Snake,Snake
642,Horse,Horse
643,Beavers,Beaver
644,Lemur,Lemur
645,Peacock,Peacock
646,Meerkat,Meerkat
647,Tortoise,Tortoise
648,Deer,Deer
649,WildBoar,Wild Boar
650,Hyena,Hyena
651,Raccoon,Raccoon
652,Badger,Badger
653,Skunk,Skunk
654,Duck,Duck
655,Donkey,Donkey
656,Pig,Pig
657,Rabbit,Rabbit
658,Cow,Cow
659,Goose,Goose
660,Chicken,Chicken
661,Fruit,Fruit
662,Hay,Hay
663,Straw,Straw
664,MeatPellet,Meat-Pellet
665,VegetablePellet,Vegetable-Pellet
666,Carrots,Carrots
667,Grains,Grains
668,OceanFlakes,Ocean Flakes
669,BlendedPellet,Blended-Pellet
670,Greens,Greens
671,Grass,Grass
672,Grit,Grit
673,Bread,Bread
674,MealWorms,Meal Worms
675,WaterPlants,Water Plants
676,Poop,Poop
677,RootVegetables,Root Vegetables
678,Beans,Beans
679,LeftOvers,Left Overs
680,Eggs,Eggs
681,SmallCarcass,Small Carcass
682,Insects,Insects
683,Earthworms,Earthworms
684,Apples,Apples
685,Carrion,Carrion
686,Berries,Berries
687,TreeBark,Tree Bark
688,Roots,Roots
689,Fish,Fish
690,Honey,Honey
691,Spiders,Spiders
692,Scorpions,Scorpions
693,CoffeeBerries,Coffee Berries
694,SugarCubes,Sugar Cubes
695,Plants,Plants
696,SaltBlock,Salt Block
697,Bananas,Bananas
698,Seeds,Seeds
699,Lettuce,Lettuce
700,ThornyShrubs,Thorny Shrubs
701,SaltBush,Salt Bush
702,Squid,Squid
703,Krill,Krill
704,Branches,Branches
705,LargeCarcass,Large Carcass
706,PreparedMeat,Prepared Meat
707,LargeFish,Large Fish
708,Offspring,Offspring
709,Clams,Clams
710,Nightshade,Nightshade
711,Pork,Pork
712,Gelatin,Gelatin
