String ID,Enum,Korean
347,Binoculars,
348,TwinLamppost,
349,CurlLampPost,
350,TwinCurlsLampPost,
351,WoodenLampPost,
352,TripletsLampPost,
353,ClassicLampPost,
354,WhiteClassicLampPost,
355,FlamingoLampPost,
356,SealLampPost,
357,BallLampPost,
358,SwingingBench,
359,GreenGardenBench,
360,GreenChair,
361,WoodenChair,
362,LongWoodenBench,
363,CamelChair,
364,Greenhouse,
365,Placeholder,
366,PandaChair,
367,ATMMachine,
368,SmallSpeaker,
369,LargeSpeaker,
370,RockSpeaker,
371,IceSpeaker,
372,KatCoffeeShop,
373,ShellShackShop,
374,TacoTruck,
375,PretzelShop,
376,Slaughterhouse,
377,IglooToliet,
378,LionTrashbin,
379,BearTrashbin,
380,Floor_Cobblestone,
381,Floor_PinkSmallTiles,
382,Floor_BrownOctoTile,
383,Floor_BrownOctoTile2,
384,Floor_GreenAndBlueDiamondTile,
385,Floor_BrownSquareTile,
386,PineTree,
387,BrickToliet,
388,EggBatteryFarm,
389,ColoredTree,
390,DarkBush,
391,Cactus,
392,Floor_Snow,
393,PenguinSignboard,
394,IceArch,
395,SmallIceRocks,
396,ThinIceRocks,
397,IceCrystals,
398,Snowman,
399,IcyTree,
400,LionSnowSculpture,
401,SealIceSculpture,
402,DeerIceSculpture,
403,BearIceSculpture,
404,BirdIceSculpture,
405,GiraffeIceSculpture,
406,BlueGrass,
407,IceShelter,
408,ZooIceSign,
409,IceCastle,
410,IceChair,
411,GiantTree,
412,ZooRockSign,
413,GiantPigBalloon,
414,Bamboo,
415,WaterTower,
416,Cart,
417,SmallBush,
418,DeadTree,
419,WantedPoster,
420,BigRocks,
421,Pyramid,
422,SandTower,
423,SmallPyramid,
424,Sphinx,
425,PalmTreesTall,
426,TileBusStop,
427,Anubis,
428,WesternWindmill,
429,JungleToliet,
430,TreeLogBench,
431,TreeStump,
432,GlowingPlant,
433,RedMushrooms,
434,BrownMushrooms,
435,LeafyFern,
436,LargeFern,
437,TreeWithVines,
438,TreeSwing,
439,JungleArch,
440,JungleWaterfall,
441,MushroomShelter,
442,Floor_WoodenPlanks,
443,Floor_WoodenTrunk,
444,Floor_StonePebbles,
445,Volume_Water,
446,Volume_WoodenBridge,
447,ChocolateVendingMachine,
448,RockyWaterfall,
449,WaterTrough,
450,ImpossibleBuilding,
451,DNABuilding,
452,MeatProcessor,
453,AnimalColosseum,
454,Incinerator,
455,MiniFountainDesc,
456,ElegantTallFountainDesc,
457,HedgeArchYellowFlowersDesc,
458,HedgeArchWhiteFlowersDesc,
459,WhiteMetalVineArchDesc,
460,BlackMetalRoseArchDesc,
461,PeacockBushDesc,
462,BinocularsDesc,
463,TwinLamppostDesc,
464,CurlLampPostDesc,
465,TwinCurlsLampPostDesc,
466,WoodenLampPostDesc,
467,TripletsLampPostDesc,
468,ClassicLampPostDesc,
469,WhiteClassicLampPostDesc,
470,FlamingoLampPostDesc,
471,SealLampPostDesc,
472,BallLampPostDesc,
487,Count,
